REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,longitude,latitude
1949-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223.0,,,,0,1,1
1949-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,530388.0,,,t,0,1,1
1949-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543.0,,,,0,1,1
1949-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,711699.0,,,t,0,1,1
1949-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106.0,,,,0,1,1
1949-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,835339.0,,,t,0,1,1
1949-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148980.0,,,,0,1,1
1949-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,781165.0,,,t,0,1,1
1949-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,147233.0,,,,0,1,1
1949-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,729611.0,,,t,0,1,1
1949-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106.0,,,,0,1,1
1949-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,658398.0,,,t,0,1,1
1949-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145048.0,,,,0,1,1
1949-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,583252.0,,,t,0,1,1
1949-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151165.0,,,,0,1,1
1949-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,451747.0,,,t,0,1,1
1949-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,149417.0,,,,0,1,1
1949-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,394514.0,,,t,0,1,1
1949-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223.0,,,,0,1,1
1950-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,355631.0,,,t,0,1,1
1950-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148980.0,,,,0,1,1
1950-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,326796.0,,,t,0,1,1
1950-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,141116.0,,,,0,1,1
1950-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,419854.0,,,t,0,1,1
1950-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466.0,,,,0,1,1
1950-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,515970.0,,,t,0,1,1
1950-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106.0,,,,0,1,1
1950-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,660582.0,,,t,0,1,1
1950-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154660.0,,,,0,1,1
1950-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,816116.0,,,t,0,1,1
1950-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,149854.0,,,,0,1,1
1950-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,758446.0,,,t,0,1,1
1950-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728.0,,,,0,1,1
1950-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,710388.0,,,t,0,1,1
1950-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106.0,,,,0,1,1
1950-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,625631.0,,,t,0,1,1
